location,num_postings,posting_ids,number_of_sweeps,geometry
High St between E 12th St Pl & International Blvd,3,[452 480 507],1,"LINESTRING (-122.2156127 37.7717942, -122.214929 37.7723115)"
San Leandro St between 40th Ave & 41st Ave,1,[ 157 ],1,"LINESTRING (-122.2197037 37.77184889999999, -122.2187894 37.7714139)"
37th Ave between E. 9th St and San Leandro St,1,[ 12 ],1,"LINESTRING (-122.2234689 37.77193560000001, -122.22340616419882 37.77192796403007, -122.22332574940391 37.771979971161144, -122.2224479 37.7731656)"
E. 12th St between 42nd Ave and High St,3,[445 473 500],1,"LINESTRING (-122.217257 37.7719818, -122.2161034 37.7714223)"
42nd Ave between International and E 12th St | 42nd Avenue between E. 12th Street & International Blvd,4,[ 458  486  513 1972],2,"LINESTRING (-122.217257 37.7719818, -122.21593845872081 37.7729301680738)"
46th Ave between Bancroft Ave and Bond St,1,[ 165 ],1,"LINESTRING (-122.2107565 37.772071, -122.2101309 37.772909)"
Hilton St between 55th Ave and Bancroft Ave,2,[ 37 882],2,"LINESTRING (-122.1966852 37.7720761, -122.1960152 37.771483)"
Foothill blvd between Trask St and 57th Ave,1,[ 890 ],1,"LINESTRING (-122.19389403275586 37.77223798825312, -122.19589803275586 37.77261258825312)"
E 9th St between 36th Ave and 37th Ave,4,[ 929 1082 1091 1371],3,"LINESTRING (-122.2244196 37.7722468, -122.2234689 37.77193560000001)"
E 8th St between 34th Ave and 36th Ave,1,[ 927 ],1,"LINESTRING (-122.2260143 37.7723442, -122.2247729 37.7717751)"
E 8th St between Fruitvale Ave and 34th Ave,1,[ 928 ],1,"LINESTRING (-122.2260143 37.7723442, -122.2280768 37.7729751)"
E. 12th St between 41st Ave and 42nd Ave,3,[446 474 501],1,"LINESTRING (-122.2180546 37.7723636, -122.217257 37.7719818)"
E 9th St between 35th Ave and 36th Ave,4,[ 930 1083 1092 1370],3,"LINESTRING (-122.2254685 37.7726035, -122.2244196 37.7722468)"
55th Ave between Hilton St & Foothill Blvd,2,[ 32 887],2,"LINESTRING (-122.1959321 37.7726081, -122.1966852 37.7720761)"
Foothill Blvd between 55th Ave and 57th Ave,1,[ 993 ],1,"LINESTRING (-122.19586964338573 37.77259463509546, -122.19386564338573 37.77222003509546)"
55th Ave between Foothill Blvd and Laverne Ave,1,[ 995 ],1,"LINESTRING (-122.1959321 37.7726081, -122.1949529 37.77328929999999)"
45th Avenue between Bancroft Avenue and Bond Street,2,[ 159 2005],2,"LINESTRING (-122.2120126 37.772656, -122.2113813 37.7735015)"
E. 12th St between 40th Ave and 41st Ave,3,[447 475 502],1,"LINESTRING (-122.21896127577759 37.77279172026491, -122.2180546 37.7723636)"
38th Ave between Wattling St and San Leandro St,2,[1629 1643],2,"LINESTRING (-122.2215347 37.7727298, -122.2221753 37.7718517)"
San Leandro St between 38th Ave and 39th Ave,3,[1221 1627 1641],3,"LINESTRING (-122.2215347 37.7727298, -122.2206199 37.7722853)"
